intent,utterance,data
AddToPlaylist,add xiang xiang album to my Madden NFL 16,"[{'text': 'add '}, {'text': 'xiang xiang', 'entity': 'artist'}, {'text': ' '}, {'text': 'album', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Madden NFL 16', 'entity': 'playlist'}]"
AddToPlaylist,add Contact to my nu metal playlist,"[{'text': 'add '}, {'text': 'Contact', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'nu metal', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add I Almost Lost My Mind to my bossa nova dinner playlist. ,"[{'text': 'Add '}, {'text': 'I Almost Lost My Mind', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'bossa nova dinner', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,add this Eric Weissberg song to my Dance Workout,"[{'text': 'add this '}, {'text': 'Eric Weissberg', 'entity': 'artist'}, {'text': ' '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Dance Workout', 'entity': 'playlist'}]"
AddToPlaylist,Add another album to my keep calm playlist. ,"[{'text': 'Add another '}, {'text': 'album', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'keep calm', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,Put an inyeccion musical track in the nanette's playlist. ,"[{'text': 'Put an '}, {'text': 'inyeccion musical', 'entity': 'playlist'}, {'text': ' '}, {'text': 'track', 'entity': 'music_item'}, {'text': ' in the '}, {'text': ""nanette's"", 'entity': 'playlist_owner'}, {'text': ' playlist. '}]"
AddToPlaylist,add little walter to Women of Comedy playlist,"[{'text': 'add '}, {'text': 'little walter', 'entity': 'artist'}, {'text': ' to '}, {'text': 'Women of Comedy', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Can the artist big mama thornton be put onto my Trabajo Relax playlist?,"[{'text': 'Can the '}, {'text': 'artist', 'entity': 'music_item'}, {'text': ' '}, {'text': 'big mama thornton', 'entity': 'artist'}, {'text': ' be put onto '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Trabajo Relax', 'entity': 'playlist'}, {'text': ' playlist?'}]"
AddToPlaylist,I want this song on the playlist called chill vibes,"[{'text': 'I want this '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' on the playlist called '}, {'text': 'chill vibes', 'entity': 'playlist'}]"
AddToPlaylist,add the track by Paul Gray to my 2010s smash hits playlist,"[{'text': 'add the '}, {'text': 'track', 'entity': 'music_item'}, {'text': ' by '}, {'text': 'Paul Gray', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': '2010s smash hits', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,add this track to my global funk,"[{'text': 'add this '}, {'text': 'track', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'global funk', 'entity': 'playlist'}]"
AddToPlaylist,Add nina hagen to essential folk,"[{'text': 'Add '}, {'text': 'nina hagen', 'entity': 'artist'}, {'text': ' to '}, {'text': 'essential folk', 'entity': 'playlist'}]"
AddToPlaylist,Add parempi mies to the Cafe con Leche playlist. ,"[{'text': 'Add '}, {'text': 'parempi mies', 'entity': 'entity_name'}, {'text': ' to the '}, {'text': 'Cafe con Leche', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,add come on a cone to Power Walk playlist,"[{'text': 'add '}, {'text': 'come on a cone', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'Power Walk', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add this tune to the Heavy Gamer playlist.,"[{'text': 'Add this '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' to the '}, {'text': 'Heavy Gamer', 'entity': 'playlist'}, {'text': ' playlist.'}]"
AddToPlaylist,The spring classical playlist needs Partners in Crime added to it. ,"[{'text': 'The '}, {'text': 'spring classical', 'entity': 'playlist'}, {'text': ' playlist needs '}, {'text': 'Partners in Crime', 'entity': 'entity_name'}, {'text': ' added to it. '}]"
AddToPlaylist,add tune to my Hype playlist,"[{'text': 'add '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Hype', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Can my electro sur have this song added to it?,"[{'text': 'Can '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'electro sur', 'entity': 'playlist'}, {'text': ' have this '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' added to it?'}]"
AddToPlaylist,add this song onto hip hop gaming playlist,"[{'text': 'add this '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' onto '}, {'text': 'hip hop gaming', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add a tune to Skylar Diggins' Training Mix,"[{'text': 'Add a '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' to '}, {'text': ""Skylar Diggins' Training Mix"", 'entity': 'playlist'}]"
AddToPlaylist,add songs tune in Reggae Infusions,"[{'text': 'add songs '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' in '}, {'text': 'Reggae Infusions', 'entity': 'playlist'}]"
AddToPlaylist,Put dschiwan gasparjan into the Cool Down playlist. ,"[{'text': 'Put '}, {'text': 'dschiwan gasparjan', 'entity': 'artist'}, {'text': ' into the '}, {'text': 'Cool Down', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,go ahead and add blowfly to my This Is Schubert list,"[{'text': 'go ahead and add '}, {'text': 'blowfly', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'This Is Schubert', 'entity': 'playlist'}, {'text': ' list'}]"
AddToPlaylist,add Dias Felices to my todo reggaeton playlist,"[{'text': 'add '}, {'text': 'Dias Felices', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'todo reggaeton', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Would you put hammer onto the lunch playlist?,"[{'text': 'Would you put '}, {'text': 'hammer', 'entity': 'entity_name'}, {'text': ' onto the '}, {'text': 'lunch', 'entity': 'playlist'}, {'text': ' playlist?'}]"
AddToPlaylist,Add this album to Trotamundos,"[{'text': 'Add this '}, {'text': 'album', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'Trotamundos', 'entity': 'playlist'}]"
AddToPlaylist,add Paper Doll to the Power Walk playlist,"[{'text': 'add '}, {'text': 'Paper Doll', 'entity': 'entity_name'}, {'text': ' to the '}, {'text': 'Power Walk', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,add the name covenant to the playlist Fusion Fest,"[{'text': 'add the name '}, {'text': 'covenant', 'entity': 'entity_name'}, {'text': ' to the playlist '}, {'text': 'Fusion Fest', 'entity': 'playlist'}]"
AddToPlaylist,find lesley's epic classical playlist and add this tune,"[{'text': 'find '}, {'text': ""lesley's"", 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'epic classical', 'entity': 'playlist'}, {'text': ' playlist and add this '}, {'text': 'tune', 'entity': 'music_item'}]"
AddToPlaylist,For my playlist Wild Country add a great day for freedom,"[{'text': 'For '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' playlist '}, {'text': 'Wild Country', 'entity': 'playlist'}, {'text': ' add '}, {'text': 'a great day for freedom', 'entity': 'entity_name'}]"
AddToPlaylist,add song to This Is Philip Glass,"[{'text': 'add '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'This Is Philip Glass', 'entity': 'playlist'}]"
AddToPlaylist,Add the singer Barbara to my COUNTRY RADIO playlists,"[{'text': 'Add the singer '}, {'text': 'Barbara', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'COUNTRY RADIO', 'entity': 'playlist'}, {'text': ' playlists'}]"
AddToPlaylist,Put ares in my canadian country playlist,"[{'text': 'Put '}, {'text': 'ares', 'entity': 'entity_name'}, {'text': ' in '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'canadian country', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,add this artist to my Sinfonia Hipster,"[{'text': 'add this '}, {'text': 'artist', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Sinfonia Hipster', 'entity': 'playlist'}]"
AddToPlaylist,Add Driven to Tears to the viral semanal playlist. ,"[{'text': 'Add '}, {'text': 'Driven to Tears', 'entity': 'entity_name'}, {'text': ' to the '}, {'text': 'viral semanal', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,Add ramble on to Halloween Teens,"[{'text': 'Add '}, {'text': 'ramble on', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'Halloween Teens', 'entity': 'playlist'}]"
AddToPlaylist,Add od mene se odvikavaj to my laundry,"[{'text': 'Add '}, {'text': 'od mene se odvikavaj', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'laundry', 'entity': 'playlist'}]"
AddToPlaylist,Put sleeping with ghosts into my 90s Indie playlist. ,"[{'text': 'Put '}, {'text': 'sleeping with ghosts', 'entity': 'entity_name'}, {'text': ' into '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': '90s Indie', 'entity': 'playlist'}, {'text': ' playlist. '}]"
AddToPlaylist,Add child owlet to my Sleep Sounds playlist ,"[{'text': 'Add '}, {'text': 'child owlet', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Sleep Sounds', 'entity': 'playlist'}, {'text': ' playlist '}]"
AddToPlaylist,add j r rotem to Classic Jazz Singers playlist,"[{'text': 'add '}, {'text': 'j r rotem', 'entity': 'artist'}, {'text': ' to '}, {'text': 'Classic Jazz Singers', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add bright and breezy to my This Is Gucci Mane playlist,"[{'text': 'Add '}, {'text': 'bright and breezy', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'This Is Gucci Mane', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,I want to add Kiara to my Digster Future Hits playlist,"[{'text': 'I want to add '}, {'text': 'Kiara', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Digster Future Hits', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add a track from The Edge to my funk soul disco playlist,"[{'text': 'Add a '}, {'text': 'track', 'entity': 'music_item'}, {'text': ' from '}, {'text': 'The Edge', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'funk soul disco', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add the name Shall We Dance to playlist Rock,"[{'text': 'Add the name '}, {'text': 'Shall We Dance', 'entity': 'entity_name'}, {'text': ' to playlist '}, {'text': 'Rock', 'entity': 'playlist'}]"
AddToPlaylist,Add Tarkan to my madrugando playlist,"[{'text': 'Add '}, {'text': 'Tarkan', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'madrugando', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,add share the well to my epic wall of sound,"[{'text': 'add '}, {'text': 'share the well', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'epic wall of sound', 'entity': 'playlist'}]"
GetWeather,Is there snowfall nearby AMerican Samoa,"[{'text': 'Is there '}, {'text': 'snowfall', 'entity': 'condition_description'}, {'text': ' '}, {'text': 'nearby', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'AMerican Samoa', 'entity': 'state'}]"
GetWeather,"How snowy will it be in this current place on Feb. first, 2034?","[{'text': 'How '}, {'text': 'snowy', 'entity': 'condition_description'}, {'text': ' will it be in this '}, {'text': 'current place', 'entity': 'current_location'}, {'text': ' on '}, {'text': 'Feb. first, 2034', 'entity': 'timeRange'}, {'text': '?'}]"
GetWeather,I need to know if its humid in Greenback in Mongolia,"[{'text': 'I need to know if its '}, {'text': 'humid', 'entity': 'condition_description'}, {'text': ' in '}, {'text': 'Greenback', 'entity': 'city'}, {'text': ' in '}, {'text': 'Mongolia', 'entity': 'country'}]"
GetWeather,"What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?","[{'text': 'What are the weather conditions going to be like in '}, {'text': 'Manhasset', 'entity': 'city'}, {'text': ', '}, {'text': 'Vermont', 'entity': 'state'}, {'text': ' on '}, {'text': 'Dec. the 6th, 2036', 'entity': 'timeRange'}, {'text': '?'}]"
GetWeather,what is the ME forecast for Joanna,"[{'text': 'what is the '}, {'text': 'ME', 'entity': 'state'}, {'text': ' forecast for '}, {'text': 'Joanna', 'entity': 'city'}]"
GetWeather,Weather for Beauregard IL,"[{'text': 'Weather for '}, {'text': 'Beauregard', 'entity': 'city'}, {'text': ' '}, {'text': 'IL', 'entity': 'state'}]"
GetWeather,what is the Gearhart forecast,"[{'text': 'what is the '}, {'text': 'Gearhart', 'entity': 'city'}, {'text': ' forecast'}]"
GetWeather,"Will it be hot on december 28 in Ayr, MI","[{'text': 'Will it be '}, {'text': 'hot', 'entity': 'condition_temperature'}, {'text': ' on '}, {'text': 'december 28', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Ayr', 'entity': 'city'}, {'text': ', '}, {'text': 'MI', 'entity': 'state'}]"
GetWeather,weather for five am in Osyka Bhutan,"[{'text': 'weather for '}, {'text': 'five am', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Osyka', 'entity': 'city'}, {'text': ' '}, {'text': 'Bhutan', 'entity': 'country'}]"
GetWeather,Will there be sun at four PM at Runkaus Strict Nature Reserve,"[{'text': 'Will there be '}, {'text': 'sun', 'entity': 'condition_description'}, {'text': ' at '}, {'text': 'four PM', 'entity': 'timeRange'}, {'text': ' at '}, {'text': 'Runkaus Strict Nature Reserve', 'entity': 'geographic_poi'}]"
GetWeather,Will it be hot near Calakmul Biosphere Reserve 3 seconds from now,"[{'text': 'Will it be '}, {'text': 'hot', 'entity': 'condition_temperature'}, {'text': ' '}, {'text': 'near', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'Calakmul Biosphere Reserve', 'entity': 'geographic_poi'}, {'text': ' '}, {'text': '3 seconds from now', 'entity': 'timeRange'}]"
GetWeather,what is the forecast starting at 8 pm for Alaska,"[{'text': 'what is the forecast starting at '}, {'text': '8 pm', 'entity': 'timeRange'}, {'text': ' for '}, {'text': 'Alaska', 'entity': 'state'}]"
GetWeather,What's the weather forecast for Niue at two am?,"[{'text': ""What's the weather forecast for ""}, {'text': 'Niue', 'entity': 'country'}, {'text': ' at '}, {'text': 'two am', 'entity': 'timeRange'}, {'text': '?'}]"
GetWeather,Is it going to be freezing in one hour in Puerto Rico,"[{'text': 'Is it going to be '}, {'text': 'freezing', 'entity': 'condition_temperature'}, {'text': ' '}, {'text': 'in one hour', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Puerto Rico', 'entity': 'country'}]"
GetWeather,Please let me know the weather forecast in Louisiana state,"[{'text': 'Please let me know the weather forecast in '}, {'text': 'Louisiana', 'entity': 'state'}, {'text': ' '}, {'text': 'state', 'entity': 'geographic_poi'}]"
GetWeather,Weather for Cougar Canyon Wilderness,"[{'text': 'Weather for '}, {'text': 'Cougar Canyon Wilderness', 'entity': 'geographic_poi'}]"
GetWeather,"whats the forecast for January 21, 2035 in Dubach","[{'text': 'whats the forecast for '}, {'text': 'January 21, 2035', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Dubach', 'entity': 'city'}]"
GetWeather,Will it be colder in Noblesville East Timor at 3 pm?,"[{'text': 'Will it be '}, {'text': 'colder', 'entity': 'condition_temperature'}, {'text': ' in '}, {'text': 'Noblesville', 'entity': 'city'}, {'text': ' '}, {'text': 'East Timor', 'entity': 'country'}, {'text': ' at '}, {'text': '3 pm', 'entity': 'timeRange'}, {'text': '?'}]"
GetWeather,Will it be warm in the current place next spring,"[{'text': 'Will it be '}, {'text': 'warm', 'entity': 'condition_temperature'}, {'text': ' in the '}, {'text': 'current place', 'entity': 'current_location'}, {'text': ' '}, {'text': 'next spring', 'entity': 'timeRange'}]"
GetWeather,Please check the weather forecast here.,"[{'text': 'Please check the weather forecast '}, {'text': 'here', 'entity': 'current_location'}, {'text': '.'}]"
GetWeather,Is the expected weather temperate here in 1 month,"[{'text': 'Is the expected weather '}, {'text': 'temperate', 'entity': 'condition_temperature'}, {'text': ' '}, {'text': 'here', 'entity': 'current_location'}, {'text': ' '}, {'text': 'in 1 month', 'entity': 'timeRange'}]"
GetWeather,What's the weather forecast for Delaware right now,"[{'text': ""What's the weather forecast for ""}, {'text': 'Delaware', 'entity': 'state'}, {'text': ' right '}, {'text': 'now', 'entity': 'timeRange'}]"
GetWeather,what will the weather be in FL on 1/11/2030,"[{'text': 'what will the weather be in '}, {'text': 'FL', 'entity': 'state'}, {'text': ' on '}, {'text': '1/11/2030', 'entity': 'timeRange'}]"
GetWeather,How will the weather be in 11 years from now in the same area of Florida?,"[{'text': 'How will the weather be in '}, {'text': '11 years from now', 'entity': 'timeRange'}, {'text': ' '}, {'text': 'in the same area', 'entity': 'spatial_relation'}, {'text': ' of '}, {'text': 'Florida', 'entity': 'state'}, {'text': '?'}]"
GetWeather,Is it going to get hotter in my current position,"[{'text': 'Is it going to get '}, {'text': 'hotter', 'entity': 'condition_temperature'}, {'text': ' in my '}, {'text': 'current position', 'entity': 'current_location'}]"
GetWeather,What is the temperature in Western Sahara or within the same area three seconds from now,"[{'text': 'What is the temperature in '}, {'text': 'Western Sahara', 'entity': 'country'}, {'text': ' or '}, {'text': 'within the same area', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'three seconds from now', 'entity': 'timeRange'}]"
GetWeather,What will the weather be like this Week close-by Saudi Arabia,"[{'text': 'What will the weather be like this '}, {'text': 'Week', 'entity': 'timeRange'}, {'text': ' '}, {'text': 'close-by', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'Saudi Arabia', 'entity': 'country'}]"
GetWeather,Will it be stormy not far from ID on 10/2/2021,"[{'text': 'Will it be '}, {'text': 'stormy', 'entity': 'condition_description'}, {'text': ' '}, {'text': 'not far', 'entity': 'spatial_relation'}, {'text': ' from '}, {'text': 'ID', 'entity': 'state'}, {'text': ' on '}, {'text': '10/2/2021', 'entity': 'timeRange'}]"
GetWeather,Will it be warm neighboring here in Whitehouse?,"[{'text': 'Will it be '}, {'text': 'warm', 'entity': 'condition_temperature'}, {'text': ' '}, {'text': 'neighboring', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'here', 'entity': 'current_location'}, {'text': ' in '}, {'text': 'Whitehouse', 'entity': 'city'}, {'text': '?'}]"
GetWeather,Can you give me the weather for here,"[{'text': 'Can you give me the weather for '}, {'text': 'here', 'entity': 'current_location'}]"
GetWeather,"Give me the forecast for feb. eleventh, 2034 far from Alaska","[{'text': 'Give me the forecast for '}, {'text': 'feb. eleventh, 2034', 'entity': 'timeRange'}, {'text': ' '}, {'text': 'far', 'entity': 'spatial_relation'}, {'text': ' from '}, {'text': 'Alaska', 'entity': 'state'}]"
GetWeather,what is the weather forecast for La Cienega,"[{'text': 'what is the weather forecast for '}, {'text': 'La Cienega', 'entity': 'city'}]"
GetWeather,Weather for Jan. 7 in North Carolina,"[{'text': 'Weather for '}, {'text': 'Jan. 7', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'North Carolina', 'entity': 'state'}]"
GetWeather,What will the weather be in Lamar?,"[{'text': 'What will the weather be in '}, {'text': 'Lamar', 'entity': 'city'}, {'text': '?'}]"
GetWeather,will there be fog Tonight at Beamer Memorial Conservation Area,"[{'text': 'will there be '}, {'text': 'fog', 'entity': 'condition_description'}, {'text': ' '}, {'text': 'Tonight', 'entity': 'timeRange'}, {'text': ' at '}, {'text': 'Beamer Memorial Conservation Area', 'entity': 'geographic_poi'}]"
GetWeather,Will there be a snowstorm in William B. Ide Adobe State Historic Park,"[{'text': 'Will there be a '}, {'text': 'snowstorm', 'entity': 'condition_description'}, {'text': ' in '}, {'text': 'William B. Ide Adobe State Historic Park', 'entity': 'geographic_poi'}]"
GetWeather,I'd like to see weather conditions for Ennis.,"[{'text': ""I'd like to see weather conditions for ""}, {'text': 'Ennis', 'entity': 'city'}, {'text': '.'}]"
GetWeather,Whats the temperature not far from Valley of Fire,"[{'text': 'Whats the temperature '}, {'text': 'not far', 'entity': 'spatial_relation'}, {'text': ' from '}, {'text': 'Valley of Fire', 'entity': 'geographic_poi'}]"
GetWeather,What is the weather forecast for my current place?,"[{'text': 'What is the weather forecast for my '}, {'text': 'current place', 'entity': 'current_location'}, {'text': '?'}]"
GetWeather,Will the weather be temperate 188 days from now in Zimbabwe,"[{'text': 'Will the weather be '}, {'text': 'temperate', 'entity': 'condition_temperature'}, {'text': ' '}, {'text': '188 days from now', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Zimbabwe', 'entity': 'country'}]"
GetWeather,"Show me weather forecast in Clontarf, KY from 4 hours from now.","[{'text': 'Show me weather forecast in '}, {'text': 'Clontarf', 'entity': 'city'}, {'text': ', '}, {'text': 'KY', 'entity': 'state'}, {'text': ' from '}, {'text': '4 hours from now', 'entity': 'timeRange'}, {'text': '.'}]"
GetWeather,What is the weather one minute from now in Ocilla,"[{'text': 'What is the weather '}, {'text': 'one minute from now', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Ocilla', 'entity': 'city'}]"
GetWeather,Weather for East Peru Bolivia 3 years and a half from now,"[{'text': 'Weather for '}, {'text': 'East Peru', 'entity': 'city'}, {'text': ' '}, {'text': 'Bolivia', 'entity': 'country'}, {'text': ' '}, {'text': '3 years and a half from now', 'entity': 'timeRange'}]"
GetWeather,Is it supposed to be chilly in Kuwait?,"[{'text': 'Is it supposed to be '}, {'text': 'chilly', 'entity': 'condition_temperature'}, {'text': ' in '}, {'text': 'Kuwait', 'entity': 'country'}, {'text': '?'}]"
GetWeather,Will it be chillier in Portugal in one hour?,"[{'text': 'Will it be '}, {'text': 'chillier', 'entity': 'condition_temperature'}, {'text': ' in '}, {'text': 'Portugal', 'entity': 'country'}, {'text': ' '}, {'text': 'in one hour', 'entity': 'timeRange'}, {'text': '?'}]"
GetWeather,What's the weather in Timbo?,"[{'text': ""What's the weather in ""}, {'text': 'Timbo', 'entity': 'city'}, {'text': '?'}]"
GetWeather,What's the weather in Gabon,"[{'text': ""What's the weather in ""}, {'text': 'Gabon', 'entity': 'country'}]"
GetWeather,Is it rainy season in Manitou Springs?,"[{'text': 'Is it '}, {'text': 'rainy', 'entity': 'condition_description'}, {'text': ' season in '}, {'text': 'Manitou Springs', 'entity': 'city'}, {'text': '?'}]"
GetWeather,what is the forecast for Wren for freezing weather,"[{'text': 'what is the forecast for '}, {'text': 'Wren', 'entity': 'city'}, {'text': ' for '}, {'text': 'freezing', 'entity': 'condition_temperature'}, {'text': ' weather'}]"
GetWeather,"Will it get colder in Camp San Saba, Latvia in one minute and eight seconds ","[{'text': 'Will it get '}, {'text': 'colder', 'entity': 'condition_temperature'}, {'text': ' in '}, {'text': 'Camp San Saba', 'entity': 'city'}, {'text': ', '}, {'text': 'Latvia', 'entity': 'country'}, {'text': ' '}, {'text': 'in one minute and eight seconds', 'entity': 'timeRange'}, {'text': ' '}]"
SearchCreativeWork,Where can I find Sebastien Grainger & The Mountains,"[{'text': 'Where can I find '}, {'text': 'Sebastien Grainger & The Mountains', 'entity': 'object_name'}]"
SearchCreativeWork,find Friendship Way,"[{'text': 'find '}, {'text': 'Friendship Way', 'entity': 'object_name'}]"
SearchCreativeWork,I want to play the video game The Coyote Kings of the Space-Age Bachelor Pad,"[{'text': 'I want to play the '}, {'text': 'video game', 'entity': 'object_type'}, {'text': ' '}, {'text': 'The Coyote Kings of the Space-Age Bachelor Pad', 'entity': 'object_name'}]"
SearchCreativeWork,I'm looking for the television show titled Justice League,"[{'text': ""I'm looking for the ""}, {'text': 'television show', 'entity': 'object_type'}, {'text': ' titled '}, {'text': 'Justice League', 'entity': 'object_name'}]"
SearchCreativeWork,show creative album Heredity,"[{'text': 'show creative '}, {'text': 'album', 'entity': 'object_type'}, {'text': ' '}, {'text': 'Heredity', 'entity': 'object_name'}]"
SearchCreativeWork,What song is Detective Conan: Dimensional Sniper,"[{'text': 'What '}, {'text': 'song', 'entity': 'object_type'}, {'text': ' is '}, {'text': 'Detective Conan: Dimensional Sniper', 'entity': 'object_name'}]"
SearchCreativeWork,Please find the Infrared Riding Hood TV show.,"[{'text': 'Please find the '}, {'text': 'Infrared Riding Hood', 'entity': 'object_name'}, {'text': ' '}, {'text': 'TV show', 'entity': 'object_type'}, {'text': '.'}]"
SearchCreativeWork,I need a photograph of The Oregon Desert,"[{'text': 'I need a '}, {'text': 'photograph', 'entity': 'object_type'}, {'text': ' of '}, {'text': 'The Oregon Desert', 'entity': 'object_name'}]"
SearchCreativeWork,look for the creative work Meltdown - Days of Destruction,"[{'text': 'look for the creative work '}, {'text': 'Meltdown - Days of Destruction', 'entity': 'object_name'}]"
SearchCreativeWork,Find the Love And War soundtrack,"[{'text': 'Find the '}, {'text': 'Love And War', 'entity': 'object_name'}, {'text': ' '}, {'text': 'soundtrack', 'entity': 'object_type'}]"
SearchCreativeWork,Find Phalcon.,"[{'text': 'Find '}, {'text': 'Phalcon', 'entity': 'object_name'}, {'text': '.'}]"
SearchCreativeWork,Looking for Kepler scientific workflow system,"[{'text': 'Looking for '}, {'text': 'Kepler scientific workflow system', 'entity': 'object_name'}]"
SearchCreativeWork,looking for Free Four: Tobias Tells the Divergent Knife-Throwing Scene,"[{'text': 'looking for '}, {'text': 'Free Four: Tobias Tells the Divergent Knife-Throwing Scene', 'entity': 'object_name'}]"
SearchCreativeWork,Play Nightbirds on Nantucket soundtrack,"[{'text': 'Play '}, {'text': 'Nightbirds on Nantucket', 'entity': 'object_name'}, {'text': ' '}, {'text': 'soundtrack', 'entity': 'object_type'}]"
SearchCreativeWork,Find The Fire in Our Throats Will Beckon the Thaw TV show,"[{'text': 'Find '}, {'text': 'The Fire in Our Throats Will Beckon the Thaw', 'entity': 'object_name'}, {'text': ' '}, {'text': 'TV show', 'entity': 'object_type'}]"
SearchCreativeWork,Play me the soundtrack for Nothing Personal.,"[{'text': 'Play me the '}, {'text': 'soundtrack', 'entity': 'object_type'}, {'text': ' for '}, {'text': 'Nothing Personal', 'entity': 'object_name'}, {'text': '.'}]"
SearchCreativeWork,Where can I find the Ricky Skaggs discography,"[{'text': 'Where can I find the '}, {'text': 'Ricky Skaggs discography', 'entity': 'object_name'}]"
